category_id,month,dayparting_name,weekday,desc_row,num_tags,title_upper,title_length,popularity
10,August,12am - 6am,Friday,977,12,11,37,Popular
10,August,12pm - 6pm,Thursday,625,10,6,61,Very Popular
10,August,12pm - 6pm,Thursday,525,1,7,36,Very Popular
24,August,12pm - 6pm,Thursday,2071,16,18,98,Popular
26,August,6pm - 12am,Thursday,1425,35,12,73,Very Popular
10,August,12am - 6am,Friday,397,23,7,49,Popular
24,August,12pm - 6pm,Thursday,1232,33,11,64,Very Popular
10,August,12pm - 6pm,Thursday,655,17,28,68,Hyper Popular
17,August,6pm - 12am,Wednesday,523,2,11,55,Very Popular
24,August,6pm - 12am,Wednesday,726,7,31,36,Highly Popular
24,August,6pm - 12am,Wednesday,863,4,5,22,Very Popular
17,August,12pm - 6pm,Thursday,499,15,4,55,Popular
24,August,12pm - 6pm,Thursday,1616,27,7,48,Popular
24,August,12am - 6am,Thursday,223,3,7,46,Popular
24,August,12pm - 6pm,Wednesday,1387,3,11,37,Very Popular
1,August,12pm - 6pm,Thursday,1052,20,5,18,Popular
10,August,12pm - 6pm,Thursday,451,27,13,55,Popular
23,August,12pm - 6pm,Thursday,296,1,8,43,Popular
2,August,12pm - 6pm,Wednesday,41,46,32,41,Popular
20,August,12pm - 6pm,Thursday,192,8,17,39,Popular
24,August,12pm - 6pm,Tuesday,513,30,5,53,Hyper Popular
27,August,6pm - 12am,Tuesday,1041,43,34,44,Popular
22,August,12pm - 6pm,Wednesday,736,25,12,64,Popular
17,August,12pm - 6pm,Wednesday,247,26,24,67,Popular
